location,site,site_id,lat,lon,depth_range,date_survey,overfished_flag,turf,coralline_algae,fire_coral,rock,gorgonian,hard_coral,macroalgae,other_benthos,rubble,sand,silt,sponge,zoanthid
Bahamas,"Great_Inagua,_Devils_Point",B1,21.01802,-73.70638,14-Dec,25-Jul-11,N,1.28,10.24,1.12,23.68,3.36,14.24,16.16,0,4.48,9.44,0,15.84,0.16
Bahamas,"Exumas,_Danger_Reef",B2,24.42737,-76.6744,15,10-Jul-10,N,0,4.12,0.48,17.27,8.56,11.09,46.44,0,0.32,0.95,0.32,10.46,0
Bahamas,"Nassau,_Goulding_Cay",B3,25.0225,-77.57043,12,13-Jul-10,Y,0,1.44,0,21.63,5.61,18.75,29.8,0,0,7.37,0.96,14.42,0
Bahamas,"Bimini,_Hawksbill_Reef_North",B4,25.75527,-79.30102,14,14-Jul-10,Y,0,0.96,0,24.96,0.16,5.44,44.64,0,0.32,1.92,1.12,20.48,0
Bahamas,Hogsty_Reef,B5,21.67015,-73.83735,14-15,23-Jul-11,N,1.6,4.48,0.16,27.84,0.64,12.48,22.08,0,0.8,5.76,0,24.16,0
Bahamas,Little_Inagua,B6,21.45068,-73.05805,14-15,29-Jul-11,N,2.4,2.72,0.16,28.8,0.16,19.52,34.56,0.32,0.8,0.48,0.16,9.92,0
Bahamas,"Mira_Por_Vos_Cays,_North_Rock",B7,22.14568,-74.538,15-18,22-Jul-11,N,0.32,3.04,1.6,7.52,4,28,50.56,0.32,0.16,0.8,0,3.68,0
Bahamas,"Great_Inagua,_NW_Point",B8,21.09908,-73.67027,14,26-Jul-11,N,2.56,9.12,1.28,21.44,0.8,17.92,13.92,0.16,12.96,7.04,0,12.8,0
Bahamas,San_Salvador,B9,24.01898,-74.54478,12,8-Jul-10,N,0,0.48,0,30.9,3.17,6.5,36.45,0.16,0.63,2.69,2.54,16.48,0
Bahamas,"Cat_Cay,_Tuna_Alley",B10,25.52467,-79.29897,16,15-Jul-10,Y,0.32,5.44,0.16,16.64,3.84,4.16,52.96,0,0,6.72,0,9.76,0
Bahamas,West_Plana_Cay,B11,22.60925,-73.5643,14-Dec,21-Jul-11,N,4.48,9.12,0,35.2,3.52,12,18.4,0,1.92,9.92,0,5.44,0
"Bocas_del_Toro,_Panama",Adrianas_Reef,P1,9.24195,-82.17358,5,9-Sep-09,Y,0,0,0,2.88,0,23.84,0,1.6,8,0.32,0,54.88,8.48
"Bocas_del_Toro,_Panama",Bastimentos_Point,P2,9.34592,-82.2143,3.5,25-Aug-08,Y,22.28,1.6,0.48,0.8,8.33,1.44,7.37,0.48,0.16,1.12,0,52.24,3.69
"Bocas_del_Toro,_Panama",Hospital_Point,P3,9.33367,-82.219,6,22-Aug-08,Y,0,1.44,1.76,21.12,0,38.08,1.44,1.12,8.16,0.48,0,24,2.4
"Bocas_del_Toro,_Panama",Juan_Point,P4,9.30132,-82.29355,6,10-Sep-09,Y,0.16,0,0.48,4.96,0.96,38.08,0,0,10.08,1.44,0,43.04,0.8
"Bocas_del_Toro,_Panama",Punta_Caracol,P5,9.37817,-82.30383,6,20-Aug-08,Y,0,0.32,0,15.48,0.16,29.52,0,1.61,5.16,9.84,0,37.26,0.65
"Bocas_del_Toro,_Panama",Rio_Grande,P6,9.27048,-82.38978,1.5,13-Sep-09,Y,0,0,0,0,0,1.76,2.08,1.44,3.68,8.8,0,74.4,7.84
Bonaire,Bachelors_Beach,O1,12.12607,-68.28763,13.5-15,23-Apr-11,N,17.76,4.16,1.28,5.76,6.08,36,15.36,0.16,0.32,7.84,0.32,4.96,0
Bonaire,Candyland,O2,12.22302,-68.401,13.5-15.5,24-Apr-11,N,15.68,10.24,0.16,8.8,5.12,33.12,19.2,0.32,0.48,0.96,0.48,5.44,0
Bonaire,Lac_Cai,O3,12.09628,-68.24017,13.5-15,24-Apr-11,N,8.32,17.28,0,1.44,1.44,30.88,36.16,0,0.32,1.28,0.48,2.24,0.16
Bonaire,Soft_Coral_Dreams,O4,12.02488,-68.25088,13.5-15,23-Apr-11,N,16.32,5.44,2.56,6.08,16.96,29.12,2.4,0,1.76,7.52,0.32,11.52,0
Bonaire,Webers_Joy,O5,12.20052,-68.30885,13.5-15,22-Apr-11,N,20.32,4.64,1.92,9.44,2.4,37.6,10.08,0.64,0.48,9.6,0.16,2.72,0
Curacao,Daaibooi,U1,12.21208,-69.08407,12-13.5,21-Apr-11,N,30.88,4.64,0.8,6.72,0.96,15.84,25.92,0.32,1.28,6.4,0.8,5.44,0
Curacao,Snake_Bay,U2,12.13972,-68.99717,15-Dec,21-Apr-11,N,24.16,3.2,1.28,7.68,0.64,37.6,8.48,0.32,5.44,7.52,0.16,3.52,0
"Key_Largo,_Florida",Conch_Reef,F1,24.94993,-80.45372,13,4-Dec-08,N,0.32,4.48,1.12,11.04,9.28,2.08,33.28,0.48,0,11.04,0,26.88,0
"Key_Largo,_Florida",North_Dry_Rocks,F2,25.13083,-80.29202,7,6-Dec-08,N,2.24,4,0.8,16.32,10.56,2.24,6.24,1.6,11.2,10.56,0,32.96,1.28
"Key_Largo,_Florida",Pickles_Reef,F3,24.98438,-80.41617,3,12-Dec-08,N,0.96,7.52,1.28,36,10.4,8.32,19.52,0.32,1.44,1.12,0,10.24,2.88
Martinique,Pont_du_Burgos,M1,14.49183,-61.08945,9-13.5,16-17-Apr-11,Y,7.2,6.24,0,3.2,0,4,52.8,0.16,1.28,8.32,0.16,16.64,0
Martinique,Cap_Salomon,M2,14.5076,-61.10122,12-Sep,16-18-Apr-11,Y,9.28,5.12,12.96,24.96,1.28,12.64,2.72,1.76,1.76,4.96,0,22.4,0.16
Martinique,Pointe_Lezarde,M3,14.49695,-61.08992,13.5,17-18-Apr-11,Y,10.56,2.24,1.28,6.24,0.16,3.2,52.16,0.64,0.64,2.24,0.32,20.32,0
St_Eustatius,The_Blocks,E1,17.464,-62.98508,13.5-16.5,10-Apr-11,N,10.72,10.72,0.32,5.12,3.68,11.52,32.64,0.16,0.32,9.28,0,15.36,0.16
St_Eustatius,Barracuda_Point,E2,17.46677,-62.99092,18,9-Apr-11,N,7.36,10.24,1.28,11.2,1.76,11.36,32.32,0.48,0,8.32,0,15.68,0
St_Lucia,Crab_Leg,S1,13.84872,-61.06267,15,13-Apr-11,Y,19.84,6.4,0,1.76,0.16,4.8,28.64,0.16,1.76,9.76,9.12,17.6,0
St_Lucia,Fairyland,S2,13.86263,-61.08065,15-16.5,14-Apr-11,N,8.64,11.36,0.96,3.84,1.92,22.72,25.6,0.32,1.12,5.12,0,18.4,0
St_Lucia,Grand_Caille,S3,13.86203,-61.07833,13.5-15,13-Apr-11,N,16.16,6.56,0,4.8,0.8,15.52,36.8,0.16,0.96,7.04,0,11.2,0
St_Lucia,Malgretoute,S4,13.83968,-61.06503,15-Dec,11-Apr-11,Y,13.28,5.92,0,11.68,0.48,13.6,4.8,0.8,4.64,16,2.08,26.72,0
St_Lucia,Piton_Wall,S5,13.82875,-61.0662,12-16.5,14-Apr-11,N,6.72,5.12,0,3.68,0,13.12,59.36,0.16,3.04,3.52,0.48,4.8,0
Puerto_Rico,"Desecheo,_Candyland",R1,18.38102,-67.48682,13.5-15,11-Oct-11,N,4,5.76,0.48,5.12,0.64,14.08,50.24,0,2.08,7.68,0,9.92,0
Puerto_Rico,"La_Paguera,_Enrique_Key",R2,17.9544,-67.05355,10.5-13.5,8-Oct-11,Y,10.4,0,0.16,14.4,9.92,15.36,6.08,0.8,1.6,11.36,6.4,23.2,0.32
Puerto_Rico,"La_Paguera,_Mata_la_Gata",R3,17.95947,-67.03733,10.5-12,9-Oct-11,Y,34.08,1.28,0,0.48,14.08,16,1.28,1.44,1.12,4.96,5.44,19.84,0
Puerto_Rico,"Aguadilla,_El_Natural",R4,18.46315,-67.16708,10.5-12,9-Oct-11,Y,38.4,0.32,0.16,0.32,0,9.12,8.96,0,0.48,16.64,7.68,17.92,0
Puerto_Rico,"Cabo_Rojo,_El_Negro",R5,18.1537,-67.24392,13.5-15,10-Oct-11,Y,33.12,1.6,0.32,1.92,4,19.68,24,3.36,1.76,2.56,0.16,7.52,0
Puerto_Rico,"La_Paguera,_Old_Buoy",R6,17.88832,-66.99808,15-16.5,8-Oct-11,N,6.88,6.24,0.32,12.16,4.16,15.68,30.24,0.16,0.64,8.8,0.16,14.56,0
Dominican_Republic,"Bayahibe,_Atlantic_Princess",D1,18.36912,-68.85237,12,12-Mar-12,Y,32.78,4.8,0,0.83,2.81,25,11.25,0,0.99,3.97,3.81,13.74,0
Dominican_Republic,"Bayahibe,_Ojo_de_Maria",D2,18.31755,-68.81345,13.5,12-Mar-12,Y,13.88,3.64,0.66,2.31,2.98,33.39,25.95,0,0.99,3.64,0.5,11.9,0.17
Dominican_Republic,"Isla_Saona,_Reuben",D3,18.18232,-68.79145,13.5-15,13-Mar-12,Y,10.4,4.16,1.12,1.92,3.52,33.6,19.04,0.16,0.16,3.52,0.32,22.08,0
Jamaica,Columbus_Park,J1,18.46553,-77.41398,13.5-15,16-Mar-12,Y,17.28,0.96,0,0.48,0.64,11.2,15.36,2.88,1.6,0.64,25.44,23.52,0
Jamaica,"Discovery_Bay,_Dairy_Bull",J2,18.46867,-77.38815,13.5-20,15-Mar-12,Y,6.24,1.92,0.16,2.88,0,8.64,68,0,1.6,5.28,0.48,4.64,0.16
Jamaica,"Discovery_Bay,_M1",J3,18.47203,-77.40955,13.5-15,15-Mar-12,Y,12.64,3.2,0,4,0,5.28,57.28,0,1.44,7.68,1.28,7.2,0
Jamaica,Pear_Tree_Bottom,J4,18.46395,-77.35712,13.5-15,17-Mar-12,Y,13.44,4.64,0.16,4.48,0.16,6.24,60.96,0,1.12,4.8,0.32,3.68,0
Cayman_Islands,"Little_Cayman,_Anns_Attic",C1,19.68535,-80.07587,13.7-14.6,8-Jun-12,N,4,8.32,0,4.64,0.48,16.16,41.76,0.32,0.48,4.64,1.6,17.6,0
Cayman_Islands,"Little_Cayman,_Divers_Delight",C2,19.65613,-80.0899,16.8-18.3,8-Jun-12,N,14.24,8.64,0.32,1.28,0.96,28.32,40.8,0,0,0.32,0.32,4.8,0
Cayman_Islands,"Grand_Cayman,_Hepps_Pipeline",C3,19.38528,-81.41652,12.2-13.7,11-Jun-12,N,5.6,9.44,0.8,4.64,0.64,18.56,46.88,0.32,0.32,0.64,0,12.16,0
Cayman_Islands,"Grand_Cayman,_Oro_Verde",C4,19.33845,-81.3908,10.4-12.8,10-Jun-12,N,11.2,11.2,0.64,10.72,0,17.6,35.2,0,1.92,2.08,0,9.44,0
Cayman_Islands,"Grand_Cayman,_Palace_Reef",C5,19.26218,-81.3785,9.1-15.2,12-Jun-12,N,2.24,15.04,0.96,3.84,1.6,16.96,49.76,0,0.48,1.44,0,7.68,0
Cayman_Islands,"Little_Cayman,_Sailfin",C6,19.7068,-80.0124,10.0-10.7,9-Jun-12,N,1.76,10.88,0.16,6.08,2.56,15.84,51.68,0,0.64,3.68,0.32,6.4,0
Cayman_Islands,"Little_Cayman,_Snapshot",C7,19.70073,-80.0571,11.3-13.7,9-Jun-12,N,3.04,9.6,0,5.28,1.12,15.84,50.56,0,1.44,1.76,0.16,11.2,0
Cayman_Islands,"Grand_Cayman,_Seaview_Reef",C8,19.29023,-81.38965,13.7-15.2,11-Jun-12,N,6.56,11.04,0.16,7.52,0.32,20.64,44.48,0,4,0.8,0,4.48,0
Mexico,Akumal,X1,20.42528,-87.28603,15-18,8-Jul-12,N,6.72,7.36,0.32,2.56,2.56,12.16,60.96,0.16,2.08,0.8,0,4.16,0.16
Mexico,Banco_Chinchorro_1,X2,18.75663,-87.34195,9.1-10.7,5-Jul-12,N,15.52,9.12,0.32,17.6,2.88,24.16,14.24,0,0.64,6.08,0.32,8.96,0.16
Mexico,Banco_Chinchorro_10,X3,18.52747,-87.43235,10.1-15.2,6-Jul-12,N,7.2,10.56,0,12.64,0.48,3.36,48,0,0.16,3.68,0.32,13.6,0
Mexico,Banco_Chinchorro_11,X4,18.3964,-87.40867,13.1-16.8,7-Jul-12,N,14.24,7.52,0.16,12.48,5.76,6.56,25.12,0.16,0.16,16.96,0.64,10.08,0.16
Mexico,Banco_Chinchorro_12,X5,18.43147,-87.42527,10.7-13.7,7-Jul-12,N,12,5.44,0,9.76,6.08,5.6,43.04,0,0.8,8.32,0.8,8.16,0
Mexico,Banco_Chinchorro_3,X6,18.68597,-87.38467,10.7,5-Jul-12,N,15.97,6.94,0,13.06,0.32,11.45,28.71,0,4.52,6.77,0,12.26,0
Mexico,Banco_Chinchorro_5,X7,18.58157,-87.41778,10.7-12.2,6-Jul-12,N,4.32,5.6,0,10.4,0.32,5.6,54.88,0,1.6,5.44,0.16,11.68,0
Mexico,"Chancanaab,_Cozumel",X8,20.43825,-87.00505,12.2,3-Jul-12,N,16.64,4.8,0,11.04,0.16,12.96,32,0,0.16,3.36,0.16,18.72,0
Mexico,"Columbia_Reef_Wall,_Cozumel",X9,20.31747,-87.02662,15.2-16.8,4-Jul-12,N,13.92,4.8,0.16,11.52,0.48,26.4,17.76,1.92,0,4.16,0,18.88,0
Mexico,"Paraiso_Bajo,_Cozumel",X10,20.47188,-86.98147,10.7,3-Jul-12,N,36.64,1.28,0,9.44,0.48,9.92,4,0.32,0.32,17.28,0.16,20-Jan,0
Mexico,"San_Clemente,_Cozumel",X11,20.38228,-87.0291,12.2-13.7,4-Jul-12,N,16.32,4.32,0.16,9.92,0.32,13.28,25.44,3.84,0.16,9.44,0.16,16.16,0.48
